Ratings ,Title,Reviews,
5,Hard to beat getaway location...,"I only stayed the one night with my family at Solage, but it was perfect in every way. Rooms are super-spacious and very well equipped. Everything worked, including WiFi - staff went way and beyond to do everything possible to make our stay memorable, and for all the right reasons. If you find the need to get away and decompress, or catch up on life, then you'll find Solace hard to beat.",
5,Paradise in Calistoga!!!,"Returned from the most amazing trip to Napa area. The Solage could not have been a better place for girls trip. Everything was absolutely perfect!! Stayed in the Silverado suite and was completely happy with everything about the room. Room was very comfortable and had large spacious bathroom with plenty of closet space. The grounds are meticulously kept and the entire resort has such a relaxed feel. Let me give a big thumbs up to the entire staff who were all so friendly and helpful - they all really make you feel welcome and special. Want to give a special thanks to Joe the Director of Operations who could not have been more helpful and pleasant - he really put our stay over the top!!!

While at the resort we took a few of the many fitness classes offered which was such a wonderful treat and the classes were great. We also utilized the gym which was perfectly equipped and allowed us to not miss a workout. The resort is also so close to hiking trails which was a great way to start our mornings - you can take the bikes from your room right to trails.

Now let's talk about the spa..... OMG had weekday sampler treatment and it was probably the best treatment I have ever had ( And I am definitely a spa enthusiast)!! The whole experience was top notch. The treatment rooms were clean, beautiful and just a tranquil, relaxing experience.

My only complaint and its not really a complaint is I was not happy with menu at Solbar they had very limited options especially for vegetarians and there was no good lunch options for my group. Michael the Solbar manager was an absolute angel and was able to help up get a meal that we were so happy with on our day of arrival when we were absolutely starving! Just another example of how fantastic the staff at the Solage is.

I will be definitely be returning to the Solage next year - just need to now figure out a way to stay longer because this place is really a relaxing paradise.",
5,"Pretty resort, comfortable luxe room","We were so happy to arrive and find extremely comfortable beds after two nights on the coast at another hotel with uncomfortable beds. The spacious room was immaculate, as you would expect at this price, as was the service. Reception was welcoming, offering us a glass of wine at check in, and a few things requested from housekeeping and room service arrived very promptly. We took advantage of a car offered for guest use (my husband is a car fanatic and could not resist) and went a few miles down the road to our favorite place in Yountville for some fresh oysters. We had a late dinner reservation (830 is late for us) at Solbar as that was all that was available but it worked out fine after our later afternoon snack. Dinner at Solbar was a treat. We can't wait to go back and stay longer.",
5,Unmatched Customer Service and Care,"There is no place in the world that I have traveled where I get quite this level of service, care and responsiveness. I keep coming back because this place knows how to treat you. From the 3 menu's to choose from, the 3 pools, the killer customer service that know you by NAME... it is like coming home - but to a home you never had!",
5,A wonderful stay!,We stayed at Solage to celebrate my husband’s birthday with our dog. It was a wonderful experience. Every detail was well done and we cannot wait to return! We had a fabulous experience at the spa and a beautiful meal at Solbar.,
5,"Solage=Bliss. Don't think, just book and go","We just returned from 2 nights at Solage and are still feeling the effects. The service is impeccable, personal, thoughtful and just the right amount of attention. We were celebrating a special occasion and there were special touch points during our stay where staff made an effort to commemorate and note the occasion. We were surprised more than once with these personal touches and it was so appreciated. We never left the property and enjoyed 4 luxury spa appointments and ate every meal on-site, so.I can assure the exquisite service extends to every facet of the resort. The details are what you really notice and you will be surprised and delighted by these during your stay----walking along the path to your room and you pass by a hot apple cider bar, with candied ginger and cinnamon sticks. A fresh bottle of water delivered to your room for turndown. A beautiful piece of chocolate on a lovely ceramic dish by your bedside. Oh, and the robes provided in your room feel like you are wrapping yourself in a fluffy cloud. The linens are equally as sublime and the bed, good god, the bed is amazing. The rooms themselves are perfectly designed and feel private, spacious and every last want or need in a hotel stay is not overlooked. In short, go. You will become a lifetime fan of this resort without a doubt. We are coming back next month and I've got the date circled on my virtual calendar!",
5,Worthwhile Stay,"Relaxing locale, delicious food, unbelievable staff, cozy suites with beds a mixture of a cloud and a hug, remarkable spa and just an all-around phenomenal atmosphere... Solbar definitely met all our dining needs from formal dinner, to breakfast outside, to an afternoon snack and cocktail to in-room dining- it was perfect! The Bathhouse was amazing and Marina made our experience even better!",
5,Perfect weekend getaway!,"My husband and I decided to drive 2 hrs to Calistoga for a weekend of R & R and Solage had everything we were looking for. Beautiful resort, with a spa and restaurant, friendly staff, lovely room, comfy bed, and plush, warm robes for the cool Calistoga morning. Pure relaxation.

We enjoyed the Spa prior to checking in. We enjoyed an amazing couples massage from Cindy and Rebecca. We then headed over to the geothermal pool and enjoyed some delicious fish tacos from Solbar while waiting to check-in. Fortunately, the resort was able to accommodate an early check-in. Thank you front desk!

Our dinner at Solbar was delicious. We had the pulled burrata, steelhead salmon, and grilled pork chop. We were initially told that we would be placed on a waitlist since there weren't any reservations available, but we walked over to Solbar around 6pm and were seated immediately. Our server, Laura, was outstanding!

We didn't make use of the bikes outside of our room, but had we stayed an another night, I would have definitely explored the resort on bike. Solage is a little on the pricey side, but in the end, we found it to be worth every penny.",
5,Girls weekend,Fantastic stay at Solage will Be back again soon. I’ve been here many times before and is certainly my favorite get away place. The pools and spa are clean. Love the food and service at Solage. Will be back soon,
5,Worth every penny,"This was a special trip for us and it did not disappoint. The staff was friendly, the property gorgeous, and the food was fantastic. The spa experience was clean, relaxing and stress-free. It was worth every penny and I would do it again if I could!",
5,Extraordinary world class resort,"The most magical place in California. A must for anyone that’s traveling to Napa Valley and Calistoga. I highly recommend this resort. The service is impeccable, dinning is fabulous, and the service is unforgettable.",
5,Peaceful Elegance with superb food and service,"We had such a great relaxing escape at Solage. Our room was very comfortable and with a view. The patio outside faces trees and park like area for the kids and/or pets to play. Inside the bedding is wonderful, the Nespresso coffee & tea machine is a real treat. The towels are large and lush which match the bedding and robes. To top it off, we were greeted with a wine and fruit tray accompanied by a nice welcome card. We will be coming back.",
5,"Wonderful Staff, beautiful resort","Almost everything about this resort is 5 stars. The beds are extremely comfortable, the pillows are probably the best we have ever had at any luxury hotel and the staff is very nice and accommodating. There were only a few items I would change or fix. The heating system is very difficult to operate. You have to use your room key and the system does not remember your own personal setting for very long. It will revert back to the preset temp of 72 in the middle of the night and then it does get a bit warm. I had to wake up numerous times in the middle of the night to readjust it. Our trash we left on the counter wasn't cleaned up each day. We left dishes for them to clean but they didn't remove them. I would also provide two hands instead of one for both sinks. Everything else was just wonderful!! We will definitely stay again and try all of the other amazing amenities the resort offers when the weather is warmer. The room service food isn't as good as the restaurant. For the price, I would say just go to eat at the restaurant for breakfast instead of room service. Overall we loved our stay. Just a few small items they could do differently or fix.",
5,complete luxury,"we stayed to celebrate 3 birthdays. The staff at the solage were so thoughtful. We were greeted with chocolate chip cookies, milk, wine and a fruit bowl and card wishing us happy birthday. in the crib was a tiny stuffed animal with a solage t-shirt for our baby, sunblock and wipes. the attitude and service of the staff were incredible. everyone was incredibly polite, friendly and thoughtful. We loved the trip and will be back! we've stayed at many nice resorts and Solage is our favorite.",
5,Relaxation at its finest,"We were blown away by the beauty of the property, the luxury of the amenities (the mattress! the sheets! the pillows! the duvet! the towels! etc!), the courtesy of the staff, the quality of the food, the relaxation in the mineral pool, and the list goes on and on. We had a wonderful time.",
5,Luxury at its finest,"I write this review truly pleased. As a person also in the customer service business I know things are supposed to go right every time at least the customer facing things. But I also know that just isn't true every time.

I had what ill call a series of pretty severe missteps in my experience here. But I can say with certainty the people in charge of righting those wrongs stepped up and did. Over the top in fact.

If you are looking for some surface level reviews where people tell they had a good time most of the time you'll find them here as well, but I am here to tell you that when things go wrong (and we all know they do now and then) this is a facility, and a staff that will do everything it can to make sure they fix it. Nice job Solage team. Keep it up and I'll see you next time I'm looking for a relaxing stay.

High end place, top notch staff, top notch amenities. The spa deserves its own 5-star review as well!",
5,Winter Perfection,"A lovely resort, especially soaking in the natural hot springs as the rain poured down. There were plenty of large and warm towels awaiting us. Then into the spa for a steam, and a shower with all the amenities including comfortable bathrobes. The swim in the olympic pool, that i had entirely on my own, was another highlight. All of the food was delicious. Friendly staff, but not too friendly; so our privacy was preserved. Rosemary is all over the property which smelled great in the rain.",
5,Luxury in the midst of a storm,"Our reservation date landed in the midst of a storm. We thought about cancelling our trip, but so happy we didn't! Solage was a luxurious oasis in the middle of the storm. They did everything to make our stay warm and comfortable despite the inclement weather. They provided cabanas in the spa pool area, had transportation to take us to and from our room to the spa, etc. The staff was top notch and we enjoyed every minute of our stay.",
5,Doesn't Get More Personalized Than Solage,"Solage is a high end boutique resort that excels in everything they do. The property is very clean and elegant. You won't find a piece of trash anywhere. The staff are exceptional and don't change over the years. Management must be treating their staff well. There are multiple warm pools, a Michelin star restaraunt on site that's casual and many amenities. I am suprised they don't charge closer to $800 a night for a room. Solage is a Gem.",
4,"Another great stay at Solage, your Napa Dog Friendly location!","Solage is our ""go to"" location in the Napa Valley for a dog friendly getaway; probably the *best* dog friendly hotel in the whole area, we go there regularly with our two 60lb shepherd and collie.

The Silverado Suite, while the most expensive, is ideal for your furry companions, since unlike all the other room types, the ""back yard"" of the suite is fully enclosed thus you can let your dogs ""off leash"" in the room, and allow them to roam around the ""back yard"" as they please.

As for dining, you can sit outdoors at Solbar with your dog, or if you like take a 15 minute walk into Calistoga itself and sit outside at the wonderful Evangeline's.

Solage charges $100 per visit as a pet fee, which includes beds, bowls, treats and poop bags, which are also available around the resort itself...

We cannot recommend this place too highly for those of you who want to enjoy Napa
(well Calistoga) with your beloved dogs in tow!",
